refrigerant,bore_mm,season,hour,E_ac_kWh,E_vent_kWh
Propane,30.0,winter,0,0.0,0.09999999999999999
Propane,30.0,winter,1,0.17167575759335496,0.1641660158667948
Propane,30.0,winter,2,0.5079962816181741,0.30499804760038435
Propane,30.0,winter,3,0.33703637393690233,0.24083203173358952
Propane,30.0,winter,4,0.22930831661829446,0.22749902380019218
Propane,30.0,winter,5,0.0,0.14999999999999997
Propane,30.0,winter,6,0.5243661905194771,0.4058310555337817
Propane,30.0,winter,7,0.7403622810825096,0.520830079333974
Propane,30.0,winter,8,0.8726838735711296,0.6099960952007687
Propane,30.0,winter,9,0.7571715658161976,0.520830079333974
Propane,30.0,winter,10,0.8914595313237383,0.6099960952007687
Propane,30.0,winter,11,0.766584575798801,0.520830079333974
Propane,30.0,winter,12,0.7513577706538217,0.520830079333974
Propane,30.0,winter,13,0.7530620364843675,0.520830079333974
Propane,30.0,winter,14,0.8896364603252103,0.6099960952007687
Propane,30.0,winter,15,0.6865350085221726,0.520830079333974
Propane,30.0,winter,16,0.8466282271963312,0.5591630872673713
Propane,30.0,winter,17,0.6939631692870656,0.4824970714005765
Propane,30.0,winter,18,0.456499756655917,0.3424980476003844
Propane,30.0,winter,19,0.3139201214318136,0.2783320317335895
Propane,30.0,winter,20,0.0,0.13749999999999996
Propane,30.0,winter,21,0.0,0.13749999999999996
Propane,30.0,winter,22,0.0,0.12499999999999996
Propane,30.0,winter,23,0.0,0.11249999999999996
Propane,30.0,spring,0,0.0,0.11249999999999999
Propane,30.0,spring,1,0.0,0.13749999999999996
Propane,30.0,spring,2,0.0,0.12499999999999996
Propane,30.0,spring,3,0.0,0.11249999999999996
Propane,30.0,spring,4,0.0,0.14999999999999997
Propane,30.0,spring,5,0.5326204584162739,0.40583105553378174
Propane,30.0,spring,6,0.7422994754587436,0.520830079333974
Propane,30.0,spring,7,0.7595112437616138,0.520830079333974
Propane,30.0,spring,8,0.7763329555914591,0.520830079333974
Propane,30.0,spring,9,0.8800010848566344,0.6099960952007687
Propane,30.0,spring,10,0.7637075789120429,0.5591630872673713
Propane,30.0,spring,11,0.9268758354950051,0.5716630872673714
Propane,30.0,spring,12,0.7857384970521253,0.520830079333974
Propane,30.0,spring,13,0.8160052056695366,0.5591630872673713
Propane,30.0,spring,14,0.9016127987360727,0.5716630872673714
Propane,30.0,spring,15,0.8525745686433762,0.6099960952007687
Propane,30.0,spring,16,0.7820444714406767,0.520830079333974
Propane,30.0,spring,17,0.6117692289140138,0.43166406346717917
Propane,30.0,spring,18,0.6338149115738283,0.43166406346717917
Propane,30.0,spring,19,0.5503902225126542,0.3808310555337817
Propane,30.0,spring,20,0.5704394435305261,0.3558310555337817
Propane,30.0,spring,21,0.3256689810363329,0.2783320317335895
Propane,30.0,spring,22,0.24649266402647677,0.22749902380019216
Propane,30.0,spring,23,0.0,0.14999999999999997
Propane,30.0,summer,0,0.41913755497270744,0.25416503966698695
Propane,30.0,summer,1,0.5031124515631156,0.30499804760038435
Propane,30.0,summer,2,0.5904382309808656,0.36833105553378176
Propane,30.0,summer,3,0.4997690701413915,0.31749804760038436
Propane,30.0,summer,4,0.6355026322559454,0.41916406346717916
Propane,30.0,summer,5,0.6420449685273186,0.43166406346717917
Propane,30.0,summer,6,0.78106750883852,0.520830079333974
Propane,30.0,summer,7,0.9285382278187228,0.6099960952007687
Propane,30.0,summer,8,0.8347853354967552,0.520830079333974
Propane,30.0,summer,9,0.8927248854666787,0.6099960952007687
Propane,30.0,summer,10,0.908254004794026,0.6099960952007687
Propane,30.0,summer,11,0.948792502228249,0.6099960952007687
Propane,30.0,summer,12,0.9891817134507277,0.6099960952007687
Propane,30.0,summer,13,1.021525950695329,0.6099960952007687
Propane,30.0,summer,14,1.034368941753765,0.6099960952007687
Propane,30.0,summer,15,1.031165926546892,0.6099960952007687
Propane,30.0,summer,16,1.0241951851598545,0.6099960952007687
Propane,30.0,summer,17,0.8642672368187501,0.5083300793339739
Propane,30.0,summer,18,0.6923263539305946,0.4066640634671791
Propane,30.0,summer,19,0.6703312214538785,0.4066640634671791
Propane,30.0,summer,20,0.5818755043450721,0.3558310555337817
